Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People’s Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1970,11.43528275,37.62490218,71.57026551,0.013442766,,23.81395967,12.83287624,7.83494138,14.11985471,4.192001906,14.64524348,22.23538296,31.32808504,29.59091646,94.2194297,3.498349324,7.937705647,3.848011591,43.7324902,15.24158952,16.92455325,19.08234393,34.33143807,3.884604056,41.67558986,2.618191518,7.561131393,1.816566214,70.87916975,13.0060383,20.69535551,38.36772533,1.820225618,6.081280945,7.483925839,41.89567094,6.131203817,0.65285104,6.821814934,,28.45883058,19.47183062,11.02400751,13.76867176,1.647413049,19.00540954,5.555084998,14.75675142,22.75752119,8.641743788,,3.270355733,53.83529824,3.113555309,8.655403014,5.77221856,14.84919289,27.58572571,32.08812817,14.85815667,51.72909683,13.63944255,28.47354071,7.454417398,6.152670086,0,4.773168498,17.14643799,39.86241644,1.552584374,55.68211045,11.00599022,22.86169098,43.58068125,18.98602115,5.492012263,6.807439671,0,11.4150801,0.130624151,16.51477552,12.4646065,5.810289298,3.494386352,25.49269594,9.633260176,2.925442388,27.72205788,0.968150469,10.77740766,17.62261485,69.37736472,70.61919713,6.71761859,,27.77429876,11.3909153,12.29563433,24.0605802,6.60835927,63.41734572,24.09221436,10.98553057,45.03508141,22.24962419,,99.15232022,11.82611599,6.605901311,18.77636085,14.20362353,18.74651403,42.26978404,96.93998638,,9.601739113,5.378330662,1.436591646,1.769832601,21.54828159,9.690864762,6.896916055,3.653338997,1.591067849,0,4.441276076,4.962030477,27.34998661,3.226591774,9.566335567,,4.567237936,,9.379129159,11.62128844,3.14187934,0.990739275,0,5.891450905,18.4151897,2.700619011,3.272292263,4.410572541,9.373367612,47.69420448,29.66023952,1.822286033,7.282800573,96.75371101,9.896606929,0,5.295999878,33.41047502,3.633307088,19.02096438,7.240390234,71.00102095,5.335748214,0,98.76921127,55.38100373,60.81466206,28.17927821,8.109015492,,34.65527137,95.51759099,19.15359435,,4.165093943,25.07260256,35.68681854,,20.77115581,20.29132529,0.415676061,7.754958097,29.26287807,,25.69177823,4.531359965,13.60714278,7.493611733,,6.631959982,12.02381057,4.461194508,6.220915525,8.381586412,20.64621668,9.374377176,7.776890918,10.68368806,0.780213269,27.44441253,2.119822758,77.32365807,20.15728458,11.6092893,75.10040276,4.838361496,0,23.78761311,38.95555475,98.45291708,39.76977368,44.88235862,0.762825331,31.84838016,2.225126643,55.51768184,8.289879751,0,,7.102747929,2.969599605,12.46858096
1971,11.55545027,38.62806493,73.98631913,0.013336544,,37.95336796,15.06876173,7.934490097,14.37201204,4.068683001,14.63114722,20.48808514,30.85850123,31.30204834,94.03916376,3.69750627,8.193494612,3.673414988,41.29446194,13.28001028,17.35700711,18.71904097,34.1786528,9.499093226,41.30302794,4.232520392,8.512244654,2.10058457,84.12991756,12.58208865,21.15612809,37.52718194,1.80851925,7.301068796,7.589172103,40.98350876,5.980908153,0.700287736,7.044857627,,34.43580706,18.77125285,11.40681524,13.6429372,4.063515035,30.75799391,5.38917129,15.18227303,22.53032413,7.485271129,,3.215208851,53.35019857,2.615935289,8.910648355,5.481096671,14.22479967,26.22322748,31.43027424,15.77041943,51.95433446,13.60722484,27.6654994,7.430158789,6.284378938,0,4.426747693,16.73045932,38.38984849,1.528979026,76.63858383,10.95066593,22.47211437,43.03236681,19.36452804,5.40942841,7.983016924,0,11.4114012,0.141689939,15.29288945,12.75295773,5.85470499,4.246369769,24.74330421,9.254484933,2.874180188,27.75255675,1.04703272,10.77073949,18.70799982,71.46560384,72.8500279,6.02201497,,27.35502271,11.60960678,12.20534224,21.67144613,7.122115187,62.97798046,23.46106005,10.84539953,46.55703453,22.37341652,,99.09945416,11.46320912,8.214148901,18.18129419,13.89816802,20.41803909,42.25307642,96.27911563,,9.185852054,5.411292443,1.394279035,2.161601791,29.84074865,13.0275013,6.806840607,3.689117679,1.524955006,0,4.666907621,4.895100906,27.8467358,2.963418774,9.457535841,,4.823146195,,9.385562002,20.48561998,4.303492846,1.16443397,0,6.155644175,20.18904695,2.689725959,3.188568201,4.659644975,9.321133121,54.00305307,28.53585205,1.92302346,7.17409803,96.60266729,10.08828098,0,5.116666756,38.79594236,4.429513388,18.04765548,7.059703866,71.04847779,5.152870124,0,98.91386532,54.33144891,60.21679166,28.79340734,8.074956925,,34.9006614,95.97462814,19.07471892,,3.949211384,24.58328124,35.98538295,,20.41760079,19.82058296,0.439962536,7.901533418,29.41120345,,24.32163112,4.690682824,12.07796075,7.502457436,,6.576667545,12.01982009,4.860464327,6.043780705,8.792245409,22.30967675,9.123398282,11.73304678,10.73213352,0.787275708,28.43769397,2.190391253,76.69958188,19.4348072,11.58749732,74.33110943,4.789248211,0,24.38289935,37.93356716,98.69199856,39.37933675,42.08344168,0.77337832,30.91522465,2.096924138,56.37727973,8.537119986,0,,6.731268513,6.81610303,14.13559408
1972,13.76351954,40.20075639,80.86775493,0.013847067,,36.56903922,15.76161228,7.230903762,14.89548564,3.994384451,15.64608375,20.30815693,31.43385622,31.77755433,93.90462325,3.765611751,10.68246153,3.663935316,41.05945083,13.51380516,17.3808306,20.47253084,33.94001455,11.53692847,41.93216025,3.59378532,8.100595336,2.125368236,80.82797942,12.02397164,22.32317901,36.99977441,1.75465414,8.466973652,7.84210059,43.17997177,6.554587189,0.733294497,6.94730395,,35.37878423,19.33918977,10.57223413,13.87758914,3.674510748,28.98124253,5.201894299,15.62250092,24.05025862,7.332885402,,4.25524906,52.04816795,2.596395412,9.25988194,5.376104987,14.23512003,23.08580331,30.12504386,15.61108449,52.03285873,13.82659103,27.22514044,7.440811017,6.491556538,0,4.045937585,16.9840842,37.36045957,1.501804968,76.37683447,11.4479061,22.44160869,41.75701353,19.29004903,4.150370431,8.27787558,0,12.04484196,0.140495745,14.75088381,12.98211211,5.831271866,4.562732781,25.00051176,9.351714918,2.733163611,26.33510795,1.06330085,11.06577619,12.09820652,73.42311076,71.95776043,5.553486682,,27.18955534,12.02483924,12.33159352,19.64450018,6.849005586,57.35617204,23.39992123,10.05310685,46.13576485,22.09722661,,99.00493755,11.02015644,7.494727498,17.95530063,14.02424537,20.71334776,42.34257727,95.22033398,,9.145068252,6.210523375,1.273952268,2.127002265,28.12552516,12.49239543,6.704992478,4.100779981,1.578267717,0,5.180173692,5.154044958,26.84019368,2.711094818,9.48959638,,3.171029013,,10.19820595,19.28366528,3.866544892,1.17048049,0,6.327327792,21.51085061,2.251909645,3.176554225,4.716947122,9.557833047,59.15689416,27.20903749,2.007262886,9.329725037,96.28253433,9.721648794,0,4.936202473,15.21307924,3.934135118,18.71816282,7.176299519,70.97905445,4.941055376,0,99.0151281,53.94063656,57.86165097,29.01730706,8.017990471,,36.51660001,96.73117097,20.17422845,,3.8306469,25.18378707,37.1726665,,20.44333394,19.71663721,0.447218166,7.753130095,28.80697334,,25.64892596,5.036640621,11.35324424,7.902184398,,6.519109819,12.18045279,4.631237148,5.742225191,8.991867923,23.6480714,9.194516505,11.11855257,11.09919,0.778113078,28.86072642,2.224196293,76.00726925,19.44806336,12.7445911,74.5018703,4.628349018,0,24.52420548,37.5750847,98.76745446,35.30966153,42.16704476,0.762157806,30.70024211,2.084196483,53.44900079,7.877961344,0,,6.644746715,6.225795312,11.12761299
1973,12.47632291,39.8138178,84.69938302,0.013547198,,35.38563336,17.2077537,7.06785516,15.67171938,3.945856119,17.75493961,20.80008058,32.58135713,33.31265696,94.55736624,3.902599309,12.79068912,3.775799822,40.6426836,13.68689599,15.79112315,22.68165305,34.13111419,15.06853922,41.15113285,3.376918944,8.601634476,2.411647172,77.21571913,12.24783525,23.18284083,35.85532617,1.803588628,10.55998136,7.317718954,43.38882269,7.265304177,0.669021325,7.349449727,,36.44683516,19.77298467,10.33976639,14.08343857,3.318585319,34.22660497,4.736242355,14.47986669,24.19717499,7.466466762,,4.364178322,50.03760049,2.560451306,9.599694032,5.428854945,14.08680671,25.35298373,31.37310321,17.06331758,52.39947964,13.69850701,27.0636097,7.440616549,6.395769994,0,4.083336266,16.06659937,35.65169027,1.633342324,88.24243522,11.81173688,22.82836369,40.75534603,18.61448994,4.792246717,8.905627209,0,11.97690914,0.139059676,15.10407885,11.93726209,5.554529288,4.697666765,26.13373365,9.39607132,2.717767057,29.35265218,1.205083419,11.00166661,17.67479816,75.52690118,76.19601497,4.680183729,,25.21472189,12.49757437,12.18728577,18.72334725,6.434863505,61.41287844,23.6680715,9.585162691,44.0049423,24.05261472,,98.76771791,11.53854384,6.357621383,17.88245989,14.63506629,20.06470825,42.32422189,94.44087642,,9.227795665,6.96399372,1.693544219,2.094788681,25.6065091,10.51623963,6.6603031,4.299091961,1.775185198,0,5.509715649,5.113937224,26.49305084,2.862120663,9.607527382,,3.76961958,,10.47525185,18.09796144,3.000682628,1.182048555,0,6.21709195,22.50508842,2.830954372,2.797459128,4.752490931,14.83494272,60.93255089,25.21343036,2.035791372,8.318637726,95.944563,10.1302327,0,4.929195203,28.46738958,4.309707412,19.71766901,6.742589236,70.51711296,4.820707249,0,99.02810394,53.72628514,60.21286185,28.82931277,7.911601292,,36.47798641,97.32527278,20.62806304,,3.73394054,24.53991704,36.87137015,,19.84223281,19.57132981,0.452568715,8.092359723,28.98349223,,19.85479824,4.90544693,10.4977362,8.572367196,,7.015268584,11.45032188,5.414792734,6.412143126,9.594314783,22.78459317,9.360870473,10.65140491,10.27492411,0.7927501,27.67309572,2.039384029,77.72584581,20.4432706,12.57830997,75.55041195,5.639664619,0,23.97592883,38.05916253,98.92556392,36.52229509,41.65962695,0.726423985,31.88330683,1.962779456,55.01733938,8.471607332,0,,6.905512737,5.796542626,11.64510191
1974,13.05915845,38.95368867,81.76611999,0.01075986,,39.73513516,15.24209814,7.696475133,16.12841769,3.832084815,16.59305791,20.12429987,33.86087674,29.70608509,95.01582629,3.954808481,13.74192956,3.825766517,39.48348352,12.92894282,20.40457716,19.8295147,34.22774633,13.08811913,41.96644699,3.454211107,8.98657169,2.058865622,91.78792687,11.24593716,24.4017306,35.68592575,1.994325993,13.69944383,9.138930216,40.23433944,5.939738514,1.089618188,9.656732006,,32.36102969,19.80127969,10.20378209,13.77380595,4.296969155,40.62459222,4.722070718,19.3732864,24.25684016,7.816294989,,2.831681978,49.18431661,2.386328002,9.860626035,5.143306154,12.94530369,23.25790935,33.01587526,17.0176373,52.59047398,14.00381064,26.96437203,7.486950865,6.910088948,0,3.675986801,15.83040968,34.02378844,1.714430019,90.44094348,11.96286974,23.08547045,40.13711923,23.17363039,3.795169496,8.466675174,0,11.88172651,0.138555386,15.70206118,14.13645366,5.529865872,3.898030908,27.14754782,8.767311927,2.901465117,30.92651172,1.106126888,11.40621034,19.92299515,75.26583609,77.95549716,5.049670726,,19.92444685,13.5755164,11.71893871,16.67930699,8.192120493,62.51050038,23.9697374,9.051585889,45.86829048,25.25978785,,98.31439187,11.71134841,8.611410579,17.66618308,15.39331644,19.67217641,40.34203716,92.05183747,,9.226161579,8.048592511,1.656667388,2.164180381,26.88553265,16.85586492,6.561036202,5.091197197,1.655774582,0,6.385278433,5.218654986,28.40999895,2.998595711,9.606013153,,4.226989604,,10.3861861,20.70403789,4.563667435,1.14568585,0,6.173623107,23.79526531,3.052921041,2.834325872,4.477292804,14.85419765,66.69119322,22.72941874,2.057421714,8.522805333,95.6166974,10.51782722,0,4.885504104,37.02909667,4.167440773,20.51852766,6.94652846,70.0531458,4.881226943,0,98.72409993,53.75076916,61.1061265,29.99794203,7.646815656,,37.29462468,97.19262415,21.21709453,,3.818937703,25.90936856,38.6984676,,19.48087196,18.97422666,0.493924393,8.896199477,29.40337415,,19.44394296,4.441224314,10.31422964,8.028136431,,6.787920441,13.04595175,4.732661284,5.743753324,9.418878219,23.49440684,9.476665431,11.54859925,10.95720369,0.818196446,33.07557354,1.962853019,78.6666225,21.07883072,13.00970352,76.77458438,5.720248805,0,26.27316409,38.11424736,98.95684864,33.81407662,39.76737768,0.687900174,33.15870887,1.939637441,51.16986286,9.14109584,0,,6.533850961,7.419676056,11.89052267
1975,12.39262269,39.71266536,79.22072375,0.010549691,,34.38322381,14.85991133,7.351546516,16.21532606,3.758781002,13.59974478,19.91675408,35.183995,29.68261405,94.50192358,3.92318584,13.52316159,3.866296251,39.19927508,12.41884928,18.74215976,20.50661617,33.49083301,11.93696621,38.04930663,3.294637918,9.074786624,2.12331146,92.57470415,11.48810694,23.94585141,35.39011658,2.081063846,11.89645261,8.295015939,37.11408601,6.048508292,0.962830137,9.087721173,,32.40728364,22.0470769,10.15797008,14.66108431,3.341281772,32.39001636,4.560127935,17.75060101,24.80591311,8.096681086,,4.122501581,49.61923084,2.177624183,9.719352554,5.063539826,12.20505134,21.48864579,33.45181605,17.12343006,53.20247379,14.45311012,26.78338419,7.825211824,7.083230443,0,3.551882191,14.29496597,34.95595428,1.591632929,89.93115112,12.08637837,22.51968489,39.54659061,22.4949346,4.570684814,9.456036397,0,12.08001288,0.133414933,18.67455418,13.34725759,4.761756007,3.448092854,28.15067552,8.718285337,2.738888044,26.09575098,1.217538976,11.80691723,19.75512349,72.58340485,79.91344011,4.34812923,,24.17580278,14.34867989,11.16287558,15.13706164,7.072701304,62.0996734,24.27269246,8.705869369,45.66283392,26.69808083,,97.7769272,11.67337467,8.748341651,17.31835724,15.16134204,20.07955409,39.80472046,91.40516571,,8.687371501,8.647871832,1.588195681,2.09728265,26.93944867,18.12355146,6.572926771,4.642466671,1.409798775,0,6.544526835,4.916133216,28.32878619,3.153046222,9.497729186,,6.864110499,,10.7534724,17.99464838,4.522091946,1.489557561,0,6.163494806,24.71619743,2.964031635,2.754707654,4.500413497,14.69947742,59.22488695,20.79851633,2.090506753,12.57535417,98.41411455,10.74468012,0,5.073895436,36.76073531,3.840477677,18.18821987,7.182155316,70.65686584,4.915544115,0,98.48796063,54.33014006,61.49659573,29.98992311,7.272360844,,36.82759246,96.20645062,20.61012293,,3.636022744,25.22475699,37.47107828,,20.25258663,21.06841135,0.46823641,7.981243727,29.47430237,,18.09548838,5.244151683,10.40509934,8.118582229,,6.76401893,12.28126841,4.267895116,6.272416898,9.746045908,27.46499748,9.455954691,10.24784228,10.30853938,0.867935299,31.03100316,1.941381526,79.18236074,21.8740318,12.94238524,78.0991941,5.853131665,0,25.91173021,38.13440767,99.01426862,35.95007141,39.23220862,0.653494971,34.4888985,1.851093132,44.47111512,10.46533337,0,,6.555869768,5.823879974,10.38805527
1976,11.36980548,39.12699104,82.81426465,0.010373017,,36.26688544,12.82991161,7.523946849,15.78257318,4.63814403,12.750284,20.11952032,36.89627037,26.69447549,94.52412624,4.124205113,12.57014237,3.968405411,39.14990704,11.60102239,18.11673537,17.25243605,33.11099142,10.96472118,38.39740976,3.69201632,7.617830281,1.82485113,93.93394353,10.46003895,23.20276059,35.31599329,2.049803191,11.75320176,8.031994821,33.92505288,4.845422239,0.921824154,8.85629262,,35.84197216,22.16626632,9.97930059,15.90864279,4.283917915,34.99905065,4.514310085,17.11416678,26.75512934,7.973255791,,4.441003358,50.13710801,2.235743714,9.579441152,4.706067198,11.92451121,21.08823715,34.58953199,16.63413544,54.1999554,14.59507041,26.65928142,7.73402395,7.179535615,0,3.670017344,14.33674881,36.36068983,1.484745566,91.02354613,11.95325609,22.38247765,39.03606106,22.42530477,3.557375709,10.58361366,0,11.18479781,0.13493371,20.94860221,12.84470564,4.436179306,3.798801816,28.83256593,8.970265065,3.044757414,28.69946399,1.141667076,11.85285382,17.34403946,74.96124658,81.72891843,4.616042831,,6.920561056,14.942231,11.21325784,15.49580531,8.464451601,60.98301871,25.05404759,8.45622302,47.29050537,26.4340387,,97.41340271,11.73676892,9.829171986,17.29979557,15.41863227,20.47637578,38.45852489,92.2161625,,8.785974528,9.532301765,1.432171639,2.204967729,28.16084713,20.50518781,6.338442121,4.549539859,1.466058304,0,6.292977193,5.216898316,28.87217886,4.619458352,9.148386057,,7.06392618,,11.61319217,20.29744023,4.633517016,1.587410503,0,6.155337557,25.5482643,2.763426145,3.027314687,4.558192549,14.26191742,61.68728038,19.01936889,2.139563268,15.75923106,98.41289817,10.85763269,0,4.870148935,25.38992332,3.470037898,18.45977498,7.489861027,71.82939295,4.890496258,0,98.36990024,54.32509499,61.72103707,31.02541251,7.118388096,,35.66660526,96.73856478,20.28665362,,2.920593533,24.96396402,38.8315908,,20.00852451,21.03206512,0.493008452,8.341568086,31.12863776,,18.21700629,5.110768325,13.13037921,7.377557335,,6.350294322,12.09858113,3.922771573,6.33237985,10.13153493,31.34125768,9.590050884,10.76143341,10.71809552,0.87432672,30.31086526,1.592354833,78.8393319,21.41458079,13.23060326,79.75849572,5.869350591,0,25.70719341,38.54896738,99.31332311,35.30540503,39.39646024,0.697379349,36.42279324,1.817782181,43.54882184,10.20896215,0,,6.860038468,7.037586457,11.41477747
1977,11.98337904,38.36398735,82.78925138,0.010096588,,34.93518501,15.69366501,7.586282524,14.564661,4.568277566,14.3546006,19.91255558,38.31273987,32.67256348,94.82346699,4.256275275,13.92292106,4.034963762,39.15450253,13.76735964,15.52700242,22.24596045,33.22075813,13.23305795,39.45362477,3.60202089,8.161651256,2.269085821,88.19566466,10.26686208,22.54943085,34.96979067,1.785516678,11.09880145,6.807724035,35.20558274,6.353058125,0.719093463,7.919768472,,31.15483897,24.43672484,10.39849866,16.17420535,3.531761957,27.75795314,4.42043144,14.48837802,27.92010269,8.625773635,,4.340691502,50.4884968,2.269942673,9.206479269,4.800306627,12.09874132,21.54855383,33.98219911,15.84438636,54.60484915,14.52526502,26.59753898,8.082911587,7.009610874,0,3.928475965,14.25189923,38.24121001,1.198095973,89.36221605,11.79185521,21.90946054,38.1390069,20.01761568,3.492059918,10.91469115,0,11.06705981,0.130210269,19.98330412,11.61178012,4.487204055,3.854072523,29.41920141,8.733072591,3.39109876,28.22667969,1.148988319,11.66405796,15.29866227,73.72871661,79.18150944,5.144719772,,6.821040024,14.95682231,10.66405941,15.58748947,7.871800398,61.27049443,25.17163288,8.319145868,47.02317628,27.19855211,,96.90569129,11.96654311,7.528185293,17.05524762,14.59057096,21.68769203,43.70037368,92.95393879,,8.734560594,10.08789117,0.539188955,2.095903652,24.13833265,16.7982822,6.150542245,4.300554617,1.435822275,0,6.272599084,4.985905932,27.00581473,3.715529995,8.603486024,,7.046110549,,12.37975366,17.91468157,3.657962908,1.381796668,0,6.156436075,25.29525664,1.587446921,3.160681244,4.429985515,13.49838941,56.36056191,17.70898056,2.137623095,17.69029375,98.25260919,11.00053096,0,5.09354104,15.05583834,4.00552466,19.68130899,7.646677633,71.94596486,4.634246111,0,97.96356695,53.59979159,62.63941726,30.94863202,8.013575833,,35.80006944,96.67937481,19.7128942,,2.70738243,23.79262773,39.24746991,,20.34680516,21.71829843,0.478646575,7.759730997,32.43868538,,17.44067914,4.614629354,14.11550885,8.111906443,,6.634598199,11.29011838,5.114248573,6.322136142,10.62234454,31.01267102,9.611813554,9.922132015,10.46370036,0.953091875,26.83403121,1.446294374,79.73548325,23.08242365,13.06826563,80.97735019,5.655490886,0,24.96550786,38.94899202,99.13694046,35.4909146,38.63134427,0.705146537,38.04195973,1.894203679,44.57628624,10.25346365,0,,6.753784213,5.871393077,10.09645818
1978,11.5715264,38.07697251,83.2376155,0.007659883,,33.99648522,10.71585624,8.365365747,12.24384611,7.665172965,16.14546134,20.20151793,39.33646033,26.69509152,94.65931351,4.285173638,12.80465712,4.078577413,37.64598189,14.73861205,18.30460482,16.8619784,34.00770027,11.47229714,41.04279176,3.872826463,7.825270637,1.825978847,85.36936499,10.35426385,22.9949107,35.4839697,1.933142825,10.4304358,7.961303453,37.74881288,4.569401906,0.984896314,8.709227423,,30.29047653,26.66898539,10.61802792,16.38724091,3.395663015,26.47495666,4.349514547,17.51244775,27.79406308,9.411204558,,4.245325561,48.55205645,2.277548498,9.466773744,4.447724709,12.77398423,22.01557689,34.02762743,15.68005048,54.99462598,14.6927072,25.97680386,8.264767479,7.374984156,0,4.27202642,14.63750817,38.14793752,1.385416503,88.66321811,12.77309931,20.99582742,37.80662393,22.57127173,3.316997104,10.76728186,0,10.35797625,0.12747758,20.00515844,13.64837733,5.212656077,3.857449494,29.31164148,8.825745351,3.545049968,29.63105342,1.284026871,11.40335715,23.16311698,71.93426405,80.12818476,4.445025001,,7.227796421,15.12366346,11.21724118,13.83749792,8.280143614,61.29061488,24.25010837,8.062159631,51.22694806,27.12435258,,96.9829197,11.87363028,6.776475574,16.56389159,14.0836197,21.26126314,44.23492483,92.52387175,,8.669135406,10.71086734,0.96145205,2.054720724,23.36471204,19.25247922,5.979075293,4.557403335,1.284624147,0,6.391202489,5.37614866,30.88322902,3.666782361,7.750045322,,8.015343111,,11.32308838,16.74362276,3.27337312,1.409482427,0,6.158194768,23.47067417,2.217835732,2.773540867,4.494564479,12.82606008,55.74631194,16.63974553,2.159591897,24.24230906,97.73269071,11.31810449,0,5.137241143,28.7096489,3.769148438,19.62942268,7.66136514,72.28598545,4.267955681,0,98.02134158,54.02372331,63.4393922,30.66801114,7.888886133,,35.5747144,95.96479192,19.81588912,,2.909687311,25.16748441,39.54186549,,21.77119328,21.92346106,0.462537711,7.528372305,34.08978912,,15.8032185,4.510033679,14.02921314,7.084694791,,6.363266574,12.38395484,4.082609254,6.590928063,10.45510955,32.56645844,9.312400415,9.56888033,10.50279173,1.069725619,30.21602601,1.216555739,79.08813564,25.88432084,12.92110333,81.84591082,5.829420698,0,26.44489386,39.62251114,99.09766316,35.41092231,38.37680659,0.707688828,39.24187308,2.037551213,42.41115488,10.20527519,0,,6.7027276,5.598960457,10.33296866
1979,11.17907095,37.81235547,81.91290469,0.033322886,,27.35160751,8.49285613,8.703235938,10.00410272,8.272083858,15.70159865,20.25550031,40.49006456,25.05345854,94.65159704,4.342932557,12.1136433,3.770430958,36.83169673,12.82563332,16.84612832,15.49447737,34.30744702,10.07685701,42.53096082,3.426805469,8.238159767,1.702679148,87.8939151,10.63240046,22.00365826,35.58635249,2.488512153,12.1957935,8.132404278,34.98069436,4.23174213,0.862114785,8.898777186,,28.87066874,27.4457317,10.77529683,16.35955203,2.37243375,21.50349303,4.152551775,16.15356064,27.26000303,9.777246074,,4.654083869,49.32387212,2.620105947,10.43132834,4.50422809,12.35224279,21.9778778,33.61374133,15.52349645,55.53168158,14.61199717,25.41637226,8.407596023,7.363164693,0,4.864985305,15.09288364,37.86927011,1.393002402,86.26773418,12.91680443,19.82842205,38.38828092,21.99100328,4.69822516,11.72102026,0,10.30691871,0.123492601,19.14313782,13.09912982,5.140993248,4.541617004,29.83443958,8.278868923,3.494105927,29.21072879,1.315984782,11.46638603,19.7370507,62.21340389,83.15648937,6.437090035,,7.314086413,15.421834,10.48657744,13.61702365,7.872528055,58.74507602,23.15475184,8.037651507,53.35812044,27.40667949,,96.84697424,11.61841066,6.9570555,16.32475573,13.77066369,20.56856395,45.08091741,91.58971479,,8.723791922,10.84216459,0.801337791,1.991329266,20.37325363,22.17941565,5.861069867,3.024733177,1.256124276,0,6.389973209,5.577717733,31.28323571,3.580862508,6.969739451,,6.454654938,,12.036039,13.04341388,3.898222512,1.30910967,0,6.207627255,23.59485207,1.575114226,2.21185439,4.952804978,12.79065918,63.24973326,15.99771694,2.151438278,28.10401754,97.26737275,11.97991112,0,4.973036304,20.22564312,3.842501491,19.03413844,7.785717512,72.98422452,4.214330048,0,97.34862351,52.79458821,63.98405437,26.0473784,7.70176602,,34.81804018,95.97033434,19.7913571,,3.933520102,24.92265118,39.58826759,,21.02163446,22.14788329,0.487813115,8.008405525,35.4473636,,16.48877609,4.686233082,14.47805421,6.668769645,,6.186566968,11.70311342,3.96804002,6.834345423,10.87965972,27.04575912,9.018273955,7.976107665,11.19769367,1.2373465,28.90429756,1.217039235,78.55996285,30.19196921,12.17505997,82.43551961,6.015512625,0,26.94416795,40.13621088,98.60027377,36.53213539,40.22624927,0.682153877,38.51840377,2.11270663,43.27219387,10.30854809,0,,6.679647153,3.949986824,10.12592489
